Len	LD
5162	1.0
5161	1.0
5144	1.0
5086	1.0
5077	1.0
5076	1.0
5069	1.0
5068	1.0
5059	1.0
5051	1.0
5006	1.0
5005	1.0
4963	1.0
4933	1.0
4932	1.0
4921	0.5238
4833	1.0
4716	1.0
4650	1.0
4649	1.0
4648	1.0
4645	1.0
4588	1.0
4478	1.0
4464	1.0
4421	1.0
4353	1.0
4352	1.0
4319	1.0
4301	1.0
4299	1.0
4225	0.4444
4215	1.0
4094	1.0
4093	1.0
4073	1.0
3926	1.0
3903	1.0
3893	1.0
3892	1.0
3891	1.0
3882	0.1667
3871	1.0
3870	1.0
3793	1.0
3779	1.0
3736	1.0
3734	1.0
3711	1.0
3667	1.0
3666	1.0
3633	1.0
3615	1.0
3613	1.0
3539	0.0476
3529	1.0
3407	1.0
3402	1.0
3269	1.0
3215	1.0
3206	1.0
3202	1.0
3132	1.0
2937	1.0
2908	1.0
2907	1.0
2843	1.0
2776	1.0
2651	1.0
2643	1.0
2642	1.0
2633	0.1667
2627	0.0476
2309	1.0
2182	1.0
2174	1.0
2167	1.0
2140	1.0
1843	1.0
1718	1.0
1716	1.0
1701	1.0
1696	0.3333
1378	1.0
1253	1.0
1236	1.0
1217	1.0
1208	0.1667
1023	1.0
924	1.0
913	1.0
397	1.0
358	1.0
333	1.0
277	1.0
86	1.0
606	1.0
711	1.0
768	1.0
793	1.0
861	1.0
1092	1.0
1119	1.0
1896	1.0
2449	1.0
2617	1.0
3531	1.0
3548	1.0
3552	1.0
3694	1.0
4144	1.0
4279	1.0
4351	1.0
4576	1.0
5231	1.0
5549	1.0
6104	1.0
6812	1.0
7799	1.0
7929	1.0
7968	1.0
8111	1.0
8914	1.0
9313	1.0
9343	1.0
9048	1.0
8517	1.0
8477	0.1667
8264	1.0
7804	1.0
5692	1.0
5643	1.0
5487	1.0
5459	1.0
5458	1.0
5457	1.0
5447	1.0
5439	1.0
5438	1.0
5421	1.0
5363	1.0
5354	1.0
5353	1.0
5346	1.0
5345	1.0
5336	1.0
5328	1.0
5283	1.0
5282	1.0
5240	1.0
5210	1.0
5209	1.0
5198	0.5238
5110	1.0
4993	1.0
4927	1.0
4926	1.0
4925	1.0
4922	1.0
4865	1.0
4755	1.0
4741	1.0
4698	1.0
4630	1.0
4629	1.0
4596	1.0
4578	1.0
4576	1.0
4502	0.4444
4492	1.0
4371	1.0
4370	1.0
4350	1.0
4203	1.0
4180	1.0
4170	1.0
4169	1.0
4168	1.0
4159	0.1667
4148	1.0
4147	1.0
4070	1.0
4056	1.0
4013	1.0
4011	1.0
3988	1.0
3944	1.0
3943	1.0
3910	1.0
3892	1.0
3890	1.0
3816	0.0476
3806	1.0
3684	1.0
3679	1.0
3546	1.0
3492	1.0
3483	1.0
3479	1.0
3409	1.0
3214	1.0
3185	1.0
3184	1.0
3120	1.0
3053	1.0
2928	1.0
2920	1.0
2919	1.0
2910	0.1667
2904	0.0476
2586	1.0
2459	1.0
2451	1.0
2444	1.0
